Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1987,09/04,Pt. Possession,24770,,8,34,,
1987,09/04,Silver Salmon,24520,,3,661,,1
1987,09/04,Tuxedni Bay,24530,,115,65,,
1987,09/04,West Side,24610,,2,330,,84
1987,09/07,Chinitna,24510,,71,124,,
1987,09/07,Polly Creek,24540,,,20,,
1987,09/07,Pt. Possession,24770,,11,1,,
1987,09/07,Silver Salmon,24520,,,124,1,2
1987,09/07,Tuxedni Bay,24530,,21,27,,4
1987,09/07,West Side,24610,,29,284,,6
1987,09/11,Pt. Possession,24770,,3,33,,
1987,09/11,West Side,24610,,17,153,,1
1987,09/14,Knik,24750,,132,173,,
1987,09/18,Pt. Possession,24770,,3,43,,
1987,09/21,Knik,24750,,3,361,,
1987,09/21,Pt. Possession,24770,,3,20,,
1987,09/21,West Side,24610,,5,135,,7
1987,09/25,Knik,24750,,,198,,
1987,09/30,Knik,24750,,,64,,
1987,10/06,Knik,24750,,,65,,
1987,10/08,Knik,24750,,,15,,
1988,06/05,,24450,,,,,405
1988,06/06,#3 Bay,24790,60,,,,90
1988,06/06,Beluga,24730,"1,572",,,,
1988,06/06,Birch Hill,24780,106,,,,127
1988,06/06,Fire Island,24743,38,,,,20
1988,06/06,Pt. Mackenzie,24742,32,,,,4
1988,06/06,Pt. Possession,24770,353,,,,262
1988,06/06,Susitna Flats,24741,91,,,,41
1988,06/06,Trading Bay,24710,686,,,,215
1988,06/06,Tyonek,24720,573,,,,6
1988,06/13,#3 Bay,24790,20,,,,66
1988,06/13,Beluga,24730,"2,129",,,1,3
1988,06/13,Birch Hill,24780,33,,,,30
1988,06/13,Fire Island,24743,207,,,,24
1988,06/13,Pt. Mackenzie,24742,91,,,,6
1988,06/13,Pt. Possession,24770,269,,,,84
1988,06/13,Susitna Flats,24741,101,,,,28
1988,06/13,Trading Bay,24710,506,,,,781
1988,06/13,Tyonek,24720,320,,,,3
1988,06/15,,24450,,128,,,
1988,06/15,,24460,,0,0,0,0
1988,06/17,Polly Creek,24540,85,,,,122
1988,06/17,Tuxedni Bay,24530,49,,1,,217
1988,06/20,#3 Bay,24790,20,,,,22
1988,06/20,Beluga,24730,"2,193",,,,
1988,06/20,Birch Hill,24780,69,,,,14
1988,06/20,Fire Island,24743,33,,,,6
1988,06/20,Polly Creek,24540,1,,,,32
1988,06/20,Pt. Mackenzie,24742,20,,,,
1988,06/20,Pt. Possession,24770,120,,,,25
1988,06/20,Susitna Flats,24741,39,,,,
1988,06/20,Trading Bay,24710,264,1,2,,75
1988,06/20,Tuxedni Bay,24530,31,3,,,508
1988,06/20,Tyonek,24720,"1,177",3,,,26
1988,06/24,Little Jack Slough,24550,,,,,16
1988,06/24,Polly Creek,24540,41,,1,1,247
1988,06/24,Silver Salmon,24520,3,1,4,,178
1988,06/24,Tuxedni Bay,24530,18,1,1,2,554
1988,06/27,#3 Bay,24790,27,,,,360
1988,06/27,Beluga,24730,529,12,1,,170
1988,06/27,Birch Hill,24780,18,,,,98
1988,06/27,Chinitna,24510,,28,2,,362
1988,06/27,East Side,24620,4,,2,,242
1988,06/27,Fire Island,24743,20,,,,9
1988,06/27,Polly Creek,24540,7,2,,,373
1988,06/27,Pt. Mackenzie,24742,5,,,,4
1988,06/27,Pt. Possession,24770,62,6,1,,278
1988,06/27,Silver Salmon,24520,,,,,12
1988,06/27,Susitna Flats,24741,49,,,,
1988,06/27,Trading Bay,24710,129,4,12,,121
1988,06/27,Tuxedni Bay,24530,21,3,,,"1,589"
1988,06/27,Tyonek,24720,135,14,5,,65
1988,06/27,West Foreland,24560,3,1,1,,31
1988,06/27,West Side,24610,17,1,7,,370
1988,06/27,,24450,25,"2,583",944,141,"28,144"
1988,06/27,,24460,19,"2,236",375,49,"32,292"
1988,06/27,,24470,26,"2,072",135,14,"18,041"
1988,06/27,,24570,,5,,,145
1988,06/27,,24580,5,363,35,1,"2,508"
1988,06/27,,24590,3,159,12,,"1,650"
1988,06/30,,24580,,15,4,,61
1988,07/01,#3 Bay,24790,3,,1,,161
1988,07/01,Beluga,24730,44,4,27,1,49
1988,07/01,Big River,24555,12,,7,,99
1988,07/01,Birch Hill,24780,1,,,,86
1988,07/01,Chinitna,24510,,82,,,595
1988,07/01,Cohn,24422,96,1,9,2,"8,177"
1988,07/01,East Side,24620,36,,23,1,357
1988,07/01,Fire Island,24743,5,,,,70
1988,07/01,Ninilchik,24421,132,3,4,8,"7,697"
1988,07/01,Polly Creek,24540,30,2,7,1,846
1988,07/01,Pt. Mackenzie,24742,1,,,,
1988,07/01,Pt. Possession,24770,8,11,2,,234
1988,07/01,Silver Salmon,24520,3,3,7,,236
1988,07/01,Trading Bay,24710,85,1,11,,84
1988,07/01,Tuxedni Bay,24530,29,9,8,3,"2,064"
1988,07/01,Tyonek,24720,101,3,27,,172
1988,07/01,Unknown,24430,114,3,9,4,"7,016"
1988,07/01,Unknown,24440,83,2,23,22,"1,878"
1988,07/01,West Foreland,24560,37,,23,,106
1988,07/01,West Side,24610,102,,76,,755
1988,07/01,,24450,6,"2,717",629,23,"15,768"
1988,07/01,,24460,11,"4,675","1,286",30,"47,797"
1988,07/01,,24470,47,"2,692",488,11,"50,897"
1988,07/01,,24570,,39,4,,709
1988,07/01,,24580,1,838,91,1,"14,261"
1988,07/01,,24590,3,"1,735",319,16,"29,211"
1988,07/04,#3 Bay,24790,6,,3,,245
1988,07/04,Beluga,24730,27,9,28,,83
1988,07/04,Big River,24555,1,,19,1,72
1988,07/04,Birch Hill,24780,3,,4,,80
1988,07/04,Chinitna,24510,,139,4,4,431
1988,07/04,Cohn,24422,123,,1,7,"12,614"
1988,07/04,East Side,24620,13,2,30,,503
1988,07/04,Fire Island,24743,9,1,4,,106
1988,07/04,Ninilchik,24421,185,,2,8,"8,231"
1988,07/04,Polly Creek,24540,24,6,10,2,562
1988,07/04,Pt. Mackenzie,24742,1,,,,79
1988,07/04,Pt. Possession,24770,7,,2,1,140
1988,07/04,Silver Salmon,24520,2,2,9,1,473
1988,07/04,Trading Bay,24710,35,2,46,1,185
1988,07/04,Tuxedni Bay,24530,43,106,42,8,"4,629"
1988,07/04,Tyonek,24720,35,13,83,3,180
1988,07/04,Unknown,24430,97,8,11,3,"10,723"
1988,07/04,Unknown,24440,111,5,14,460,"2,841"
1988,07/04,West Foreland,24560,10,1,36,,119
1988,07/04,West Side,24610,67,3,285,4,966
1988,07/04,,24450,,59,16,1,"1,246"
1988,07/04,,24460,18,"3,552",935,94,"42,944"
1988,07/04,,24470,33,"5,102","1,925",40,"63,586"
1988,07/04,,24570,,62,26,1,974
1988,07/04,,24580,5,"1,951",613,20,"17,333"
1988,07/04,,24590,26,"5,287","1,577",54,"62,146"
1988,07/06,,24460,,65,11,,387
1988,07/08,#3 Bay,24790,,,6,1,155
1988,07/08,Beluga,24730,1,478,702,75,125
1988,07/08,Big River,24555,1,,19,,49
1988,07/08,Birch Hill,24780,,,7,2,142
1988,07/08,Chinitna,24510,,426,9,6,150
1988,07/08,Cohn,24422,128,12,106,939,"14,933"
1988,07/08,East Side,24620,8,,60,17,225
1988,07/08,Fire Island,24743,2,2,9,,86
1988,07/08,Little Jack Slough,24550,,,22,1,66
1988,07/08,Ninilchik,24421,290,41,105,269,"10,055"
1988,07/08,Polly Creek,24540,23,8,46,7,"1,139"
1988,07/08,Pt. Mackenzie,24742,,,1,,171
1988,07/08,Pt. Possession,24770,20,1,3,1,429
1988,07/08,Silver Salmon,24520,4,15,29,4,799
1988,07/08,Susitna Flats,24741,2,4,10,,80
1988,07/08,Trading Bay,24710,26,4,82,,140
1988,07/08,Tuxedni Bay,24530,14,29,14,2,"1,879"
1988,07/08,Tyonek,24720,10,314,835,88,182
1988,07/08,Unknown,24430,240,,4,8,"8,395"
1988,07/08,Unknown,24440,95,6,30,10,"2,544"
1988,07/08,West Foreland,24560,25,7,151,4,202
1988,07/08,West Side,24610,9,3,44,3,329
1988,07/08,,24450,3,375,63,2,"2,285"
1988,07/08,,24460,22,"15,479","5,938",134,"195,109"
1988,07/08,,24470,13,"5,924","2,315",34,"66,411"
1988,07/08,,24570,1,311,49,,"2,636"
1988,07/08,,24580,5,"5,315","2,653",68,"83,194"
1988,07/08,,24590,4,"3,766","1,573",29,"45,636"
1988,07/09,Cohn,24422,15,,1,,"2,336"
1988,07/09,Little Jack Slough,24550,,,1,,42
1988,07/09,Ninilchik,24421,11,1,1,,"1,935"
1988,07/09,Polly Creek,24540,5,7,7,,467
1988,07/09,Silver Salmon,24520,6,38,50,4,"1,232"
1988,07/09,Tuxedni Bay,24530,8,28,9,1,946
1988,07/09,Unknown,24430,4,,1,,"3,624"
1988,07/10,Cohn,24422,193,2,72,37,"21,481"
1988,07/10,Little Jack Slough,24550,,,6,1,82
1988,07/10,Ninilchik,24421,299,1,5,39,"22,704"
1988,07/10,Polly Creek,24540,4,9,27,1,975
1988,07/10,Silver Salmon,24520,1,14,18,2,446
1988,07/10,Tuxedni Bay,24530,8,146,40,8,"4,078"
1988,07/10,Unknown,24430,161,1,18,14,"42,004"
1988,07/10,,24450,3,"3,967",689,79,"15,160"
1988,07/10,,24460,106,941,433,177,"45,995"
1988,07/11,#3 Bay,24790,1,5,26,17,"1,079"
1988,07/11,Beluga,24730,29,24,178,10,371
1988,07/11,Big River,24555,1,,80,,85
1988,07/11,Birch Hill,24780,1,4,8,6,770
1988,07/11,Chinitna,24510,1,213,9,1,57
1988,07/11,Cohn,24422,140,1,3,30,"15,082"
1988,07/11,East Side,24620,9,2,78,4,634
1988,07/11,Fire Island,24743,1,1,15,1,189
1988,07/11,Little Jack Slough,24550,2,,32,,132
1988,07/11,Ninilchik,24421,146,1,3,33,"10,245"
1988,07/11,Polly Creek,24540,9,10,65,5,"2,409"
1988,07/11,Pt. Mackenzie,24742,3,6,6,,485
1988,07/11,Pt. Possession,24770,10,6,90,16,"2,645"
1988,07/11,Silver Salmon,24520,,10,32,1,755
1988,07/11,Susitna Flats,24741,,2,18,1,106
1988,07/11,Trading Bay,24710,15,139,517,76,920
1988,07/11,Tuxedni Bay,24530,15,205,44,7,"4,689"
1988,07/11,Tyonek,24720,19,106,354,15,"1,019"
1988,07/11,Unknown,24430,215,4,17,6,"44,157"
1988,07/11,Unknown,24440,104,13,66,44,"33,777"
1988,07/11,West Foreland,24560,5,3,273,2,644
1988,07/11,West Side,24610,26,8,379,25,882
1988,07/11,,24450,15,"40,833","13,411",681,"346,933"
1988,07/11,,24460,33,"33,628","12,018",595,"372,832"
1988,07/11,,24470,4,"4,156","1,990",88,"46,284"
1988,07/11,,24580,,"2,743",996,128,"30,002"
1988,07/11,,24590,,815,317,19,"8,146"
1988,07/12,Cohn,24422,32,2,21,23,"14,794"
1988,07/12,Little Jack Slough,24550,,,26,,169
1988,07/12,Ninilchik,24421,45,,5,15,"5,055"
1988,07/12,Polly Creek,24540,1,6,15,,617
1988,07/12,Silver Salmon,24520,1,20,50,2,648
1988,07/12,Tuxedni Bay,24530,17,134,60,13,"4,419"
1988,07/12,Unknown,24430,63,4,21,17,"41,847"
1988,07/12,Unknown,24440,38,102,180,93,"57,700"
1988,07/13,Cohn,24422,131,7,205,59,"23,034"
1988,07/13,Little Jack Slough,24550,,,70,,167
1988,07/13,Ninilchik,24421,141,1,28,91,"20,697"
1988,07/13,Polly Creek,24540,4,44,76,5,"2,405"
1988,07/13,Silver Salmon,24520,,,,,186
1988,07/13,Tuxedni Bay,24530,2,55,33,7,"2,304"
1988,07/13,Unknown,24430,157,1,26,21,"40,450"
1988,07/13,Unknown,24440,65,661,780,547,"106,981"
1988,07/13,,24450,58,"1,856",733,218,"48,310"
1988,07/13,,24460,18,"7,995","3,031",651,"70,042"
1988,07/13,,24470,,3,3,,130
1988,07/14,Cohn,24422,,,,,485
1988,07/14,Little Jack Slough,24550,,,43,,146
1988,07/14,Ninilchik,24421,9,,,,680
1988,07/14,Polly Creek,24540,2,23,65,,"1,160"
1988,07/14,Silver Salmon,24520,1,32,48,7,738
1988,07/14,Tuxedni Bay,24530,,27,13,3,887
1988,07/14,Unknown,24430,25,,3,,"1,643"
1988,07/15,#3 Bay,24790,1,1,14,7,300
1988,07/15,Beluga,24730,32,17,489,139,"1,127"
1988,07/15,Birch Hill,24780,1,1,6,17,425
1988,07/15,Chinitna,24510,,571,23,10,82
1988,07/15,Cohn,24422,174,9,83,173,"74,929"
1988,07/15,East Side,24620,5,2,300,17,760
1988,07/15,Fire Island,24743,1,2,34,6,987
1988,07/15,Ninilchik,24421,304,2,56,99,"12,869"
1988,07/15,Polly Creek,24540,2,36,66,6,"1,891"
1988,07/15,Pt. Mackenzie,24742,1,1,2,1,277
1988,07/15,Pt. Possession,24770,,10,33,30,790
1988,07/15,Silver Salmon,24520,2,45,61,7,"1,168"
1988,07/15,Susitna Flats,24741,,34,68,8,"1,685"
1988,07/15,Trading Bay,24710,13,2,172,65,442
1988,07/15,Tuxedni Bay,24530,12,108,64,9,"2,838"
1988,07/15,Tyonek,24720,5,7,151,57,499
1988,07/15,Unknown,24430,180,56,281,156,"119,752"
1988,07/15,Unknown,24440,120,14,263,151,"48,326"
1988,07/15,West Foreland,24560,6,,126,10,331
1988,07/15,West Side,24610,25,12,"1,191",77,"1,434"
1988,07/15,,24450,24,"37,525","12,461","1,433","139,578"
1988,07/15,,24460,37,"81,583","34,267","2,915","405,635"
1988,07/15,,24470,3,"3,637","1,424",124,"17,285"
1988,07/15,,24570,,479,187,17,"2,028"
1988,07/15,,24580,2,"4,620","2,333",261,"27,642"
1988,07/15,,24590,,837,306,35,"4,586"
1988,07/16,Cohn,24422,199,18,44,180,"44,582"
1988,07/16,Little Jack Slough,24550,,,204,1,197
1988,07/16,Ninilchik,24421,369,2,34,120,"10,813"
1988,07/16,Polly Creek,24540,,22,3,,783
1988,07/16,Silver Salmon,24520,,1,15,2,373
1988,07/16,Tuxedni Bay,24530,,3,2,,105
1988,07/16,Unknown,24430,170,46,123,131,"55,689"
1988,07/16,Unknown,24440,45,175,485,375,"23,643"
1988,07/16,,24450,29,"9,112","2,446","1,085","80,562"
1988,07/16,,24460,49,"9,446","3,462","1,295","144,993"
1988,07/17,Cohn,24422,164,18,49,152,"41,745"
1988,07/17,Little Jack Slough,24550,,1,51,,124
1988,07/17,Ninilchik,24421,227,7,38,183,"14,935"
1988,07/17,Polly Creek,24540,,11,24,1,584
1988,07/17,Silver Salmon,24520,2,12,28,3,310
1988,07/17,Tuxedni Bay,24530,15,559,232,39,"6,588"
1988,07/17,Unknown,24430,182,87,231,219,"77,548"
1988,07/17,Unknown,24440,72,568,656,620,"90,704"
1988,07/17,,24450,42,"8,131","2,622","1,389","91,973"
1988,07/17,,24460,66,"5,637","2,354","1,336","143,972"
1988,07/18,#3 Bay,24790,1,30,122,254,"1,771"
1988,07/18,Beluga,24730,21,"1,759","2,293","1,003","4,359"
1988,07/18,Big River,24555,1,,830,3,303
1988,07/18,Birch Hill,24780,,83,146,142,"1,199"
1988,07/18,Chinitna,24510,,797,80,,173
1988,07/18,Cohn,24422,88,38,102,280,"18,313"
1988,07/18,East Side,24620,,66,448,28,"1,354"
1988,07/18,Fire Island,24743,1,103,130,12,920
1988,07/18,Ninilchik,24421,161,,39,183,"10,628"
1988,07/18,Polly Creek,24540,,48,126,3,"2,479"
1988,07/18,Pt. Mackenzie,24742,,117,275,5,"1,742"
1988,07/18,Pt. Possession,24770,,878,419,161,"3,480"
1988,07/18,Silver Salmon,24520,,,144,4,255
1988,07/18,Susitna Flats,24741,1,381,460,47,"1,081"
1988,07/18,Trading Bay,24710,8,140,"1,587",939,"2,670"
1988,07/18,Tuxedni Bay,24530,12,663,233,11,"5,272"
1988,07/18,Tyonek,24720,6,402,"1,070",485,"2,589"
1988,07/18,Unknown,24430,119,27,151,148,"40,129"
1988,07/18,Unknown,24440,73,"2,789","1,067","1,493","92,226"
1988,07/18,West Foreland,24560,3,6,857,201,"1,169"
1988,07/18,West Side,24610,10,312,"2,017",345,"3,897"
1988,07/18,,24450,11,"26,379","7,840","2,247","74,097"
1988,07/18,,24460,22,"51,520","21,600","7,690","253,005"
1988,07/18,,24470,2,"3,724","1,240",407,"16,450"
1988,07/18,,24570,1,"1,761",257,40,"1,139"
1988,07/18,,24580,1,"2,824","1,006",706,"14,458"
1988,07/18,,24590,,493,166,23,"1,421"
1988,07/19,Little Jack Slough,24550,,,72,,61
1988,07/19,Polly Creek,24540,1,64,220,12,"3,501"
1988,07/19,Silver Salmon,24520,2,31,30,6,729
1988,07/19,Tuxedni Bay,24530,1,44,2,,83
1988,07/19,Unknown,24430,70,15,75,125,"34,141"
1988,07/19,Unknown,24440,111,"1,700","1,153","1,943","61,454"
1988,07/19,,24450,31,"2,361","1,303",847,"35,506"
1988,07/19,,24460,19,926,327,211,"10,173"
1988,07/20,Little Jack Slough,24550,,14,24,,253
1988,07/20,Polly Creek,24540,,2,128,3,503
1988,07/20,Tuxedni Bay,24530,6,414,82,17,"2,699"
1988,07/21,Cohn,24422,70,17,35,91,"20,457"
1988,07/21,Little Jack Slough,24550,,1,27,,85
1988,07/21,Ninilchik,24421,45,23,33,81,"5,028"
1988,07/21,Polly Creek,24540,3,91,109,2,"2,195"
1988,07/21,Silver Salmon,24520,1,16,19,2,197
1988,07/21,Tuxedni Bay,24530,3,812,287,16,"3,234"
1988,07/21,Unknown,24430,60,4,335,38,"62,131"
1988,07/21,Unknown,24440,12,91,194,788,"41,919"
1988,07/22,#3 Bay,24790,,30,87,513,"1,632"
1988,07/22,Beluga,24730,19,"9,127","11,810","1,920","6,996"
1988,07/22,Big River,24555,,,"1,676",,110
1988,07/22,Birch Hill,24780,1,201,389,963,"3,333"
1988,07/22,Chinitna,24510,,336,53,19,21
1988,07/22,Cohn,24422,153,105,230,498,"42,568"
1988,07/22,East Side,24620,2,13,583,12,"1,616"
1988,07/22,Fire Island,24743,,906,"1,353",270,"1,480"
1988,07/22,Little Jack Slough,24550,,,44,,135
1988,07/22,Ninilchik,24421,291,62,223,415,"25,060"
1988,07/22,Polly Creek,24540,1,20,309,3,"1,360"
1988,07/22,Pt. Mackenzie,24742,1,346,572,40,"1,015"
1988,07/22,Pt. Possession,24770,,"1,314","2,474","1,348","7,019"
1988,07/22,Silver Salmon,24520,1,38,50,2,246
1988,07/22,Susitna Flats,24741,,"1,350","1,388",229,"1,319"
1988,07/22,Trading Bay,24710,,445,"8,101","2,236","4,312"
1988,07/22,Tuxedni Bay,24530,23,"1,012",506,28,"7,283"
1988,07/22,Tyonek,24720,4,"3,147","16,068","4,218","4,704"
1988,07/22,Unknown,24430,278,157,476,106,"107,514"
1988,07/22,Unknown,24440,70,398,"1,303","1,864","79,479"
1988,07/22,West Foreland,24560,,3,598,20,666
1988,07/22,West Side,24610,3,167,"1,498",95,"2,657"
1988,07/22,,24450,213,"5,227","2,834","5,426","163,426"
1988,07/22,,24460,100,"5,055","4,168","46,090","162,583"
1988,07/23,Cohn,24422,149,112,371,526,"16,565"
1988,07/23,Knik,24750,,133,516,4,"3,676"
1988,07/23,Ninilchik,24421,301,77,418,850,"13,620"
1988,07/23,Unknown,24430,141,15,121,229,"41,153"
1988,07/23,Unknown,24440,11,118,268,"1,210","38,991"
1988,07/23,,24450,142,854,894,"1,667","92,563"
1988,07/23,,24460,15,302,417,742,"29,642"
1988,07/24,Cohn,24422,125,127,417,431,"9,241"
1988,07/24,Knik,24750,1,177,747,5,"4,621"
1988,07/24,Ninilchik,24421,78,39,135,491,"2,921"
1988,07/24,Unknown,24430,78,,72,123,"21,971"
1988,07/24,Unknown,24440,63,276,728,"3,006","40,389"
1988,07/24,,24450,200,"2,886","2,640","5,560","67,291"
1988,07/24,,24460,84,"3,045","2,027","4,851","37,473"
1988,07/25,Big River,24555,,1,"2,704",11,130
1988,07/25,Chinitna,24510,,689,209,30,53
1988,07/25,Cohn,24422,57,9,112,306,"3,729"
1988,07/25,East Side,24620,3,61,798,24,"1,803"
1988,07/25,Knik,24750,,415,"1,963",54,"6,896"
1988,07/25,Ninilchik,24421,187,28,631,"1,144","5,776"
1988,07/25,Polly Creek,24540,,236,663,8,"1,601"
1988,07/25,Tuxedni Bay,24530,6,"1,053",361,25,"1,464"
1988,07/25,Unknown,24430,88,46,147,486,"16,414"
1988,07/25,Unknown,24440,68,196,676,"2,388","16,147"
1988,07/25,West Foreland,24560,7,17,"2,090",175,762
1988,07/25,West Side,24610,3,40,"2,102",47,"2,093"
1988,07/25,,24450,147,"3,461","2,319","4,424","58,524"
1988,07/25,,24460,35,430,488,"1,021","15,982"
1988,07/26,Cohn,24422,224,73,567,"1,117","11,071"
1988,07/26,Knik,24750,,626,"2,091",107,"7,331"
1988,07/26,Ninilchik,24421,248,67,536,"1,112","6,270"
1988,07/26,Unknown,24430,144,24,275,577,"25,439"
1988,07/26,Unknown,24440,92,241,"1,095","2,673","24,527"
1988,07/26,,24450,184,"2,261","2,644","4,825","56,375"
1988,07/26,,24460,43,906,"1,122","2,043","16,591"
1988,07/27,Knik,24750,1,538,"1,899",114,"5,713"
1988,07/27,Unknown,24430,64,58,291,"1,150","17,093"
1988,07/27,Unknown,24440,92,161,454,"2,701","18,157"
1988,07/27,,24450,49,"2,469",949,"3,167","21,073"
1988,07/27,,24460,5,123,35,169,"1,104"
1988,07/27,,24470,,,,,15
1988,07/28,Knik,24750,5,519,"2,549",210,"6,345"
1988,07/28,Unknown,24430,77,45,576,"2,031","28,960"
1988,07/28,Unknown,24440,109,193,524,"1,958","23,750"
1988,07/28,,24450,34,"1,672",970,"2,833","22,006"
1988,07/28,,24460,,2,3,1,68
1988,07/29,#3 Bay,24790,,210,162,149,436
1988,07/29,Beluga,24730,10,"5,154","5,426","10,439","3,129"
1988,07/29,Big River,24555,1,39,"1,156",6,127
1988,07/29,Birch Hill,24780,2,16,179,166,152
1988,07/29,Chinitna,24510,,"2,430",459,30,12
1988,07/29,Cohn,24422,166,66,488,"1,828","13,639"
1988,07/29,East Side,24620,5,8,456,54,"1,556"
1988,07/29,Fire Island,24743,,270,513,180,228
1988,07/29,Knik,24750,2,325,"1,839",97,"3,669"
1988,07/29,Ninilchik,24421,131,10,434,"2,293","7,279"
1988,07/29,Polly Creek,24540,1,966,797,60,"2,288"
1988,07/29,Pt. Mackenzie,24742,,227,764,177,751
1988,07/29,Pt. Possession,24770,,258,397,378,289
1988,07/29,Susitna Flats,24741,,149,337,181,85
1988,07/29,Trading Bay,24710,7,844,"2,901","2,870","1,069"
1988,07/29,Tuxedni Bay,24530,4,"2,007",806,25,957
1988,07/29,Tyonek,24720,2,"1,722","3,105","4,529","2,746"
1988,07/29,Unknown,24430,258,43,820,"2,880","27,617"
1988,07/29,Unknown,24440,139,227,"1,146","2,241","26,994"
1988,07/29,West Foreland,24560,,6,529,37,229
1988,07/29,West Side,24610,3,92,"1,139",214,"1,846"
1988,07/29,,24450,9,"24,442","14,240","10,306","27,408"
1988,07/29,,24460,17,"34,517","25,000","16,017","41,497"
1988,07/29,,24470,1,671,557,465,"1,060"
1988,07/29,,24580,,"4,172","3,148","1,876","4,115"
1988,07/29,,24590,,543,548,273,701
1988,07/30,Unknown,24430,114,61,"1,021","3,536","8,744"
1988,07/30,Unknown,24440,113,232,854,"2,433","10,253"
1988,07/30,,24450,17,"1,241",969,"1,909","4,400"
1988,07/30,,24460,,524,670,433,850
1988,07/31,Unknown,24430,174,93,"1,602","4,739","9,731"
1988,07/31,Unknown,24440,158,138,"1,105","3,619","15,631"
1988,07/31,,24450,27,464,463,"1,045","2,055"
1988,07/31,,24460,2,247,168,151,253
1988,08/01,#3 Bay,24790,,18,110,114,172
1988,08/01,Beluga,24730,1,"3,203","3,037","2,050",418
1988,08/01,Big River,24555,,209,624,9,276
1988,08/01,Birch Hill,24780,1,17,254,99,64
1988,08/01,Chinitna,24510,,"1,596",434,22,8
1988,08/01,Cohn,24422,169,52,937,"3,942","5,796"
1988,08/01,East Side,24620,1,33,509,141,"1,330"
1988,08/01,Fire Island,24743,,271,354,186,96
1988,08/01,Ninilchik,24421,166,49,781,"2,575","2,238"
1988,08/01,Polly Creek,24540,,182,70,1,216
1988,08/01,Pt. Mackenzie,24742,,491,739,237,393
1988,08/01,Pt. Possession,24770,,273,719,306,113
1988,08/01,Silver Salmon,24520,,18,56,,16
1988,08/01,Susitna Flats,24741,1,687,"1,158",352,215
1988,08/01,Trading Bay,24710,1,258,"1,028",362,204
1988,08/01,Tuxedni Bay,24530,1,998,612,8,340
1988,08/01,Tyonek,24720,3,"1,121","2,736","1,726",524
1988,08/01,Unknown,24430,336,25,"1,175","4,993","8,662"
1988,08/01,Unknown,24440,95,114,575,"2,347","4,221"
1988,08/01,West Foreland,24560,1,208,626,109,765
1988,08/01,West Side,24610,1,16,255,28,555
1988,08/01,,24450,8,"3,546","1,933","2,015","2,622"
1988,08/01,,24460,13,"22,548","11,523","12,423","14,286"
1988,08/01,,24470,,"2,132",808,"1,019","1,306"
1988,08/01,,24570,,901,458,441,598
1988,08/01,,24580,3,"2,569","1,399","1,340","1,441"
1988,08/01,,24590,,797,497,492,491
1988,08/05,#3 Bay,24790,1,5,94,54,113
1988,08/05,Beluga,24730,31,"11,585","6,381","3,336","1,266"
1988,08/05,Birch Hill,24780,,7,125,79,71
1988,08/05,Chinitna,24510,,"2,203",323,53,14
1988,08/05,Cohn,24422,87,96,"1,001","4,017","3,311"
1988,08/05,East Side,24620,4,102,346,118,992
1988,08/05,Fire Island,24743,,"1,184","1,078",598,162
1988,08/05,Little Jack Slough,24550,,33,544,14,477
1988,08/05,Ninilchik,24421,74,44,972,"6,567","3,877"
1988,08/05,Polly Creek,24540,3,413,"1,263",588,454
1988,08/05,Pt. Mackenzie,24742,,387,545,289,102
1988,08/05,Pt. Possession,24770,5,"1,112","1,722",892,917
1988,08/05,Silver Salmon,24520,1,130,282,6,43
1988,08/05,Susitna Flats,24741,,583,585,312,96
1988,08/05,Trading Bay,24710,2,437,"2,076",253,375
1988,08/05,Tuxedni Bay,24530,3,"2,539",648,64,309
1988,08/05,Tyonek,24720,7,"4,945","6,064","1,679",810
1988,08/05,Unknown,24430,257,16,"1,368","7,396","5,800"
1988,08/05,Unknown,24440,118,402,"3,615","8,970","13,223"
1988,08/05,West Foreland,24560,6,84,"1,304",234,432
1988,08/05,West Side,24610,3,68,962,167,886
1988,08/05,,24450,9,"3,836","2,474","3,456","1,628"
1988,08/05,,24460,7,"8,388","5,777","15,441","5,466"
1988,08/05,,24470,,"1,140",607,885,549
1988,08/05,,24570,,19,13,19,4
1988,08/05,,24580,,675,603,"1,182","1,217"
1988,08/05,,24590,,275,143,290,223
1988,08/08,#3 Bay,24790,,6,645,48,69
1988,08/08,Beluga,24730,4,"4,200","4,761","1,648",855
1988,08/08,Big River,24555,,1,607,3,21
1988,08/08,Birch Hill,24780,1,48,419,36,86
1988,08/08,Chinitna,24510,,"2,127",292,20,14
1988,08/08,Cohn,24422,22,72,"1,042","8,945","2,328"
1988,08/08,East Side,24620,1,61,737,217,864
1988,08/08,Fire Island,24743,,301,410,80,25
1988,08/08,Ninilchik,24421,65,55,"1,862","9,324","2,223"
1988,08/08,Polly Creek,24540,3,788,"1,232","1,058",711
1988,08/08,Pt. Mackenzie,24742,5,"1,875","2,493",697,282
1988,08/08,Pt. Possession,24770,2,315,"1,102",201,299
1988,08/08,Silver Salmon,24520,8,136,650,"3,056",335
1988,08/08,Susitna Flats,24741,,537,471,249,102
